Time,COOLANT_TEMPERATURE (),Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature,Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [��,Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
17:19.4,33,,,,,,,,,
17:19.5,33,97,,,,,,,,
17:19.6,33,97,0,,,,,,,
17:19.7,33,97,0,0,,,,,,
17:19.8,33,97,0,0,24,,,,,
17:19.9,33,97,0,0,24,0.91,,,,
17:20.0,33,97,0,0,24,0.91,89,,,
17:20.0,33,97,0,0,24,0.91,89,24,,
17:20.1,33,97,0,0,24,0.91,89,24,14.1,
17:20.2,33,97,0,0,24,0.91,89,24,14.1,14.5
17:20.3,33,97,0,0,24,0.91,89,24,14.1,14.5
17:20.4,33,97,0,0,24,0.91,89,24,14.1,14.5
17:20.5,33,97,0,0,24,0.91,89,24,14.1,14.5
17:20.6,33,97,0,0,24,0.91,89,24,14.1,14.5
17:20.7,33,97,0,0,24,0.91,89,24,14.1,14.5
17:20.8,33,97,0,0,24,0.91,89,24,14.1,14.5
17:20.9,33,97,0,0,24,0.91,89,24,14.1,14.5
17:21.0,33,97,0,0,24,0.91,89,24,14.1,14.5
17:21.1,33,97,0,0,24,0.91,89,24,14.1,14.5
17:21.2,33,97,0,0,24,0.91,89,24,14.1,14.5
17:21.2,33,97,0,0,24,0.91,89,24,14.1,14.5
17:21.3,33,97,0,0,24,0.91,89,24,14.1,14.5
17:21.4,33,97,0,0,24,0.91,89,24,14.1,14.5
17:21.5,33,97,0,0,24,0.91,89,24,14.1,14.5
17:21.6,33,97,0,0,24,0.91,89,24,14.1,14.5
17:21.7,33,97,0,0,24,0.91,89,24,14.1,14.5
17:21.8,33,97,0,0,24,0.91,89,24,14.1,14.5
17:21.9,33,97,0,0,24,0.91,89,24,14.1,14.5
17:22.0,33,97,0,0,24,0.91,89,24,14.1,14.5
17:22.1,33,97,0,0,24,0.91,89,24,14.1,14.5
17:22.1,33,97,0,0,24,0.91,89,24,14.1,14.5
17:22.2,33,97,0,0,24,0.91,89,24,14.1,14.5
17:22.3,33,97,0,0,24,0.91,89,24,14.1,14.5
17:22.4,33,97,0,0,24,0.91,89,24,14.1,14.5
17:22.5,33,97,0,0,24,0.91,89,24,14.1,14.5
17:22.6,33,97,0,0,24,0.91,89,24,14.1,14.5
17:22.7,33,97,0,0,24,0.91,89,24,14.1,14.5
17:22.8,33,97,0,0,24,0.91,89,24,14.1,14.5
17:22.9,33,97,0,0,24,0.91,89,24,14.1,14.5
17:23.0,33,97,0,0,24,0.91,89,24,14.1,14.5
17:23.0,33,97,0,0,24,0.91,89,24,14.1,14.5
17:23.1,33,97,0,0,24,0.91,89,24,14.1,14.5
17:23.2,33,97,0,0,24,0.91,89,24,14.1,14.5
17:23.3,33,97,0,0,24,0.91,89,24,14.1,14.5
17:23.4,33,97,0,0,24,0.91,89,24,14.1,14.5
17:23.5,33,97,0,0,24,2.99,89,24,14.1,14.5
17:23.6,33,97,0,0,24,2.99,89,24,14.1,14.5
17:23.7,33,97,0,0,24,2.99,89,24,14.1,14.5
17:23.8,33,97,0,0,24,2.99,89,24,14.1,14.5
17:23.9,33,97,0,0,24,2.99,89,24,14.1,14.5
17:23.9,33,97,0,0,24,2.99,89,24,14.1,14.5
17:24.0,33,95,0,0,24,2.99,89,24,14.1,14.5
17:24.1,33,95,1049,0,24,2.99,89,24,14.1,14.5
17:24.2,33,95,1049,0,24,2.99,89,24,14.1,14.5
17:24.3,33,95,1049,0,30,2.99,89,24,14.1,14.5
17:24.4,33,95,1049,0,30,8.49,89,24,14.1,14.5
17:24.5,33,95,1049,0,30,8.49,83.1,24,14.1,14.5
17:24.6,33,95,1049,0,30,8.49,83.1,24,14.1,14.5
17:24.7,33,95,1049,0,30,8.49,83.1,24,14.1,14.5
17:24.8,33,95,1049,0,30,8.49,83.1,24,14.1,14.5
17:24.8,33,95,1049,0,30,8.49,83.1,24,14.1,14.5
17:24.9,33,96,1049,0,30,8.49,83.1,24,14.1,14.5
17:25.0,33,96,903,0,30,8.49,83.1,24,14.1,14.5
17:25.1,33,96,903,0,30,8.49,83.1,24,14.1,14.5
17:25.2,33,96,903,0,37,8.49,83.1,24,14.1,14.5
17:25.3,33,96,903,0,37,8.97,83.1,24,14.1,14.5
17:25.4,33,96,903,0,37,8.97,83.1,24,14.1,14.5
17:25.5,33,96,903,0,37,8.97,83.1,24,14.1,14.5
17:25.6,33,96,903,0,37,8.97,83.1,24,14.1,14.5
17:25.7,33,96,903,0,37,8.97,83.1,24,14.1,14.5
17:25.7,33,96,903,0,37,8.97,83.1,24,14.1,14.5
17:25.8,33,97,903,0,37,8.97,83.1,24,14.1,14.5
17:26.0,33,97,861,0,37,8.97,83.1,24,14.1,14.5
17:26.0,33,97,861,0,37,8.97,83.1,24,14.1,14.5
17:26.1,33,97,861,0,35,8.97,83.1,24,14.1,14.5
17:26.2,33,97,861,0,35,8.72,83.1,24,14.1,14.5
17:26.3,33,97,861,0,35,8.72,83.1,24,14.1,14.5
17:26.4,33,97,861,0,35,8.72,83.1,24,14.1,14.5
17:26.5,33,97,861,0,35,8.72,83.1,24,14.1,14.5
17:26.6,33,97,861,0,35,8.72,83.1,24,14.1,14.5
17:26.7,33,97,861,0,35,8.72,83.1,24,14.1,14.5
17:26.8,33,97,861,0,35,8.72,83.1,24,14.1,14.5
17:26.9,33,97,833,0,35,8.72,83.1,24,14.1,14.5
17:27.0,33,97,833,0,35,8.72,83.1,24,14.1,14.5
17:27.1,33,97,833,0,34,8.72,83.1,24,14.1,14.5
17:27.2,33,97,833,0,34,8.44,83.1,24,14.1,14.5
17:27.2,33,97,833,0,34,8.44,83.1,24,14.1,14.5
17:27.3,33,97,833,0,34,8.44,83.1,24,14.1,14.5
17:27.4,33,97,833,0,34,8.44,83.1,24,14.1,14.5
17:27.5,33,97,833,0,34,8.44,83.1,24,14.1,14.5
17:27.6,33,97,833,0,34,8.44,83.1,24,14.1,14.5
17:27.7,33,97,833,0,34,8.44,83.1,24,14.1,14.5
17:27.8,33,97,809,0,34,8.44,83.1,24,14.1,14.5
17:27.9,33,97,809,0,34,8.44,83.1,24,14.1,14.5
17:28.0,33,97,809,0,33,8.44,83.1,24,14.1,14.5
17:28.1,33,97,809,0,33,8.38,83.1,24,14.1,14.5
17:28.2,33,97,809,0,33,8.38,83.1,24,14.1,14.5
17:28.3,33,97,809,0,33,8.38,83.1,24,14.1,14.5
17:28.4,33,97,809,0,33,8.38,83.1,24,14.1,14.5
17:28.4,33,97,809,0,33,8.38,83.1,24,14.1,14.5
17:28.5,33,97,809,0,33,8.38,83.1,24,14.1,14.5
17:28.6,33,97,809,0,33,8.38,83.1,24,14.1,14.5
17:28.7,33,97,798,0,33,8.38,83.1,24,14.1,14.5
17:28.8,33,97,798,0,33,8.38,83.1,24,14.1,14.5
17:28.9,33,97,798,0,32,8.38,83.1,24,14.1,14.5
17:29.0,33,97,798,0,32,8.74,83.1,24,14.1,14.5
17:29.1,33,97,798,0,32,8.74,83.1,24,14.1,14.5
17:29.2,33,97,798,0,32,8.74,83.1,24,14.1,14.5
17:29.3,33,97,798,0,32,8.74,83.1,24,14.1,14.5
17:29.3,33,97,798,0,32,8.74,83.1,24,14.1,14.5
17:29.4,33,97,798,0,32,8.74,83.1,24,14.1,14.5
17:29.5,33,97,798,0,32,8.74,83.1,24,14.1,14.5
17:29.6,33,97,835,0,32,8.74,83.1,24,14.1,14.5
17:29.7,33,97,835,0,32,8.74,83.1,24,14.1,14.5
17:29.8,33,97,835,0,31,8.74,83.1,24,14.1,14.5
17:29.9,33,97,835,0,31,8.83,83.1,24,14.1,14.5
17:30.0,33,97,835,0,31,8.83,83.1,24,14.1,14.5
17:30.1,33,97,835,0,31,8.83,83.1,24,14.1,14.5
17:30.2,33,97,835,0,31,8.83,83.1,24,14.5,14.5
17:30.2,33,97,835,0,31,8.83,83.1,24,14.5,14.5
17:30.3,33,97,835,0,31,8.83,83.1,24,14.5,14.5
17:30.4,33,97,835,0,31,8.83,83.1,24,14.5,14.5
17:30.5,33,97,944,0,31,8.83,83.1,24,14.5,14.5
17:30.6,33,97,944,0,31,8.83,83.1,24,14.5,14.5
17:30.7,33,97,944,0,33,8.83,83.1,24,14.5,14.5
17:30.8,33,97,944,0,33,10.11,83.1,24,14.5,14.5
17:30.9,33,97,944,0,33,10.11,83.1,24,14.5,14.5
17:31.0,33,97,944,0,33,10.11,83.1,24,14.5,14.5
17:31.1,33,97,944,0,33,10.11,83.1,24,14.5,14.5
