ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED (),Throttle_Response_Problem
0,0,0,17.647058,0,32,-4.6875,0,101,34.117645,49.803921,16.078432,31.764706,19.607843,0,102,0,30,5,486.099976,351.600006,12.324,0,0,7866,0,255,
0,0,0,17.647058,0,32,-4.6875,0,101,34.117645,49.803921,16.078432,31.764706,19.607843,0,102,0,30,5,486.099976,351.600006,12.324,0,0,7866,0,255,
0,0,0,17.647058,0,32,-4.6875,0,101,34.117645,49.803921,16.078432,31.764706,19.607843,0,102,0,30,5,486.099976,351.600006,12.324,0,0,7866,0,255,
0,0,0,17.647058,0,32,-4.6875,0,101,34.117645,49.803921,16.078432,31.764706,19.607843,0,102,0,30,5,486.099976,351.600006,12.324,0,0,7866,0,255,
0,0,0,17.647058,0,32,-4.6875,0,101,34.117645,49.803921,16.078432,31.764706,19.607843,0,102,0,30,5,486.099976,351.600006,12.324,0,0,7866,0,255,
0,0,0,17.647058,0,32,-4.6875,0,101,34.117645,49.803921,16.078432,31.764706,19.607843,0,100,0,30,5,486.099976,351.600006,12.324,0,0,7866,0,255,
0,0,0,17.647058,0,32,-4.6875,0,101,34.117645,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,30,5,486.099976,351.600006,10.625,0,0,7866,0,255,
0,1682.75,0,17.647058,25.490196,32,0.78125,0,25,34.117645,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,30,5,486.099976,351.600006,10.625,0,0,7866,0,255,
1,1682.75,0,20.392157,25.490196,32,0.78125,0,25,34.117645,51.764706,16.078432,31.764706,19.607843,0,100,0.392157,29,21,486.099976,351.600006,10.625,0,0,7866,0,255,
1,1682.75,0,20.392157,25.490196,32,0.78125,0,25,34.117645,53.333332,16.078432,31.764706,19.607843,0,100,1.568627,29,21,486.099976,351.600006,11.757,0,0,7866,0,255,
