ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),INTAKE_AIR_TEMP (),Throttle_Response_Problem
0,0.0,0,17.647058,0.0,25,0,25,0.0
0,0.0,0,17.647058,0.0,25,0,25,0.0
0,0.0,0,17.647058,0.0,25,0,25,0.0
0,0.0,0,18.039215,0.0,25,0,25,0.0
0,0.0,0,18.039215,0.0,25,0,25,0.0
0,0.0,0,18.039215,0.0,25,0,25,0.0
0,1732.75,0,18.039215,27.843138,25,0,25,0.0
1,1732.75,0,20.0,27.843138,25,0,24,0.0
1,1732.75,0,20.0,27.843138,25,0,24,0.0
1,1732.75,0,20.0,27.843138,25,0,24,0.0
1,1820.25,0,20.0,23.529411,25,0,24,0.0
3,1820.25,0,20.0,23.529411,25,0,24,0.0
3,1820.25,0,20.0,23.529411,25,0,24,0.0
3,1820.25,0,20.0,23.529411,25,0,24,0.0
4,1722.5,0,19.607843,23.921568,25,0,25,0.0
4,1722.5,0,19.607843,23.921568,25,0,25,0.0
4,1722.5,0,19.607843,23.921568,25,0,25,0.0
4,1630.25,0,19.607843,23.529411,25,0,25,0.0
6,1630.25,0,19.607843,23.529411,25,0,25,0.0
6,1630.25,0,19.607843,23.529411,25,0,25,0.0
6,1630.25,0,19.607843,23.529411,25,0,25,0.0
6,1542.75,0,19.215687,23.921568,26,0,25,0.0
8,1542.75,0,19.215687,23.921568,26,0,25,0.0
8,1542.75,0,19.215687,23.921568,26,0,25,0.0
8,1542.75,0,19.215687,23.921568,26,0,25,0.0
10,1519.5,0,20.784313,34.509804,26,0,25,1.0
10,1519.5,0,20.784313,34.509804,26,0,25,1.0
10,1519.5,0,20.784313,34.509804,26,0,25,1.0
10,1519.5,0,20.784313,35.686275,27,0,25,1.0
12,1513.25,0,21.17647,35.686275,27,0,25,1.0
12,1513.25,0,21.17647,35.686275,27,0,25,1.0
12,1513.25,0,21.17647,35.686275,27,0,25,1.0
12,1471.0,0,20.784313,34.509804,28,0,25,1.0
13,1471.0,0,20.784313,34.509804,28,0,25,1.0
13,1471.0,0,20.784313,34.509804,28,0,25,1.0
13,1471.0,0,20.784313,34.509804,28,0,25,1.0
