"COOLANT_TEMPERATURE ()","ENGINE_RPM ()","VEHICLE_SPEED ()","INTAKE_AIR_TEMP ()","SHORT_TERM_FUEL_TRIM_BANK_1 ()","LONG_TERM_FUEL_TRIM_BANK_1 ()"
"81","0","0","45","0","-4.6875"
"81","0","0","45","0","-4.6875"
"81","0","0","45","0","-4.6875"
"81","0","0","45","0","-4.6875"
"81","245.25","0","45","0","-4.6875"
"81","245.25","0","45","0","-4.6875"
"81","245.25","0","45","0","-4.6875"
"81","1128","0","45","0","0"
"81","1128","0","46","0","0"
"81","1128","0","46","0","0"
"81","1128","0","46","0","0"
"80","1113.25","0","46","0","0"
"80","1113.25","0","46","0","0"
"80","1113.25","0","46","0","0"
"80","1113.25","0","46","0","0"
"80","922.5","0","47","0","-0.78125"
"80","922.5","0","47","0","-0.78125"
"80","922.5","0","47","0","-0.78125"
"79","922.5","0","47","0","-0.78125"
"79","851.5","0","48","0","-0.78125"
"79","851.5","0","48","0","-0.78125"
"79","851.5","0","48","0","-0.78125"
"79","835.75","0","48","0","-0.78125"
"79","835.75","0","48","0","-0.78125"
"79","835.75","0","48","0","-0.78125"
"79","835.75","0","48","0","-0.78125"
"80","831.25","0","48","0","-0.78125"
"80","831.25","0","48","0","-0.78125"
"80","831.25","0","48","0","-0.78125"
"80","831.25","0","48","-1.5625","-0.78125"
"80","837.5","0","48","-1.5625","-0.78125"
"80","837.5","0","48","-1.5625","-0.78125"
"80","837.5","0","48","-1.5625","-0.78125"
"80","633.5","0","48","-1.5625","-2.34375"
"80","633.5","0","48","-1.5625","-2.34375"
"80","633.5","0","48","-1.5625","-2.34375"
"80","633.5","0","48","-1.5625","-2.34375"
"81","624","0","48","1.5625","-1.5625"
"81","624","0","48","1.5625","-1.5625"
"81","624","0","48","1.5625","-1.5625"
"81","624","0","48","0","-2.34375"
"81","906.25","5","48","0","-2.34375"
"81","906.25","5","48","0","-2.34375"
"81","906.25","5","48","0","-2.34375"
"81","1194.5","9","48","-6.25","0"
"81","1194.5","9","48","-6.25","0"
"81","1194.5","9","48","-6.25","0"
"81","1194.5","9","48","-6.25","0"
"81","716.25","9","48","-0.78125","-2.34375"
"81","716.25","9","48","-0.78125","-2.34375"
"81","716.25","9","48","-0.78125","-2.34375"
"82","716.25","9","48","-3.125","-1.5625"
"82","955.25","13","48","-3.125","-1.5625"
"82","955.25","13","48","-3.125","-1.5625"
"82","955.25","13","48","-3.125","-1.5625"
"82","1053","15","48","4.6875","-0.78125"
"82","1053","15","48","4.6875","-0.78125"
"82","1053","15","48","4.6875","-0.78125"
"82","1053","15","48","4.6875","-0.78125"
"83","1036.5","15","48","0","-1.5625"
"83","1036.5","15","48","0","-1.5625"
"83","1036.5","15","48","0","-1.5625"
"83","1036.5","15","48","3.90625","-1.5625"
"83","1004.5","15","48","3.90625","-1.5625"
"83","1004.5","15","48","3.90625","-1.5625"
"83","1004.5","15","48","3.90625","-1.5625"
"83","985","14","48","1.5625","-1.5625"
"83","985","14","48","1.5625","-1.5625"
"83","985","14","48","1.5625","-1.5625"
"83","985","14","48","1.5625","-1.5625"
"83","966.25","15","48","4.6875","-1.5625"
"83","966.25","15","48","4.6875","-1.5625"
"83","966.25","15","48","4.6875","-1.5625"
"84","966.25","15","48","0.78125","-1.5625"
"84","976.5","12","48","0.78125","-1.5625"
"84","976.5","12","48","0.78125","-1.5625"
"84","976.5","12","48","0.78125","-1.5625"
"85","979.5","12","48","2.34375","-1.5625"
"85","979.5","12","48","2.34375","-1.5625"
"85","979.5","12","48","2.34375","-1.5625"
"85","979.5","12","48","2.34375","-1.5625"
"85","977.25","12","48","-0.78125","-1.5625"
"85","977.25","12","48","-0.78125","-1.5625"
"85","977.25","12","48","-0.78125","-1.5625"
"85","977.25","12","48","0.78125","-1.5625"
"85","783.5","10","48","0.78125","-1.5625"
"85","783.5","10","48","0.78125","-1.5625"
"85","783.5","10","48","0.78125","-1.5625"
"86","816.25","9","48","0.78125","-1.5625"
"86","816.25","9","48","0.78125","-1.5625"
"86","816.25","9","48","0.78125","-1.5625"
"86","816.25","9","48","0.78125","-1.5625"
"86","968.75","13","48","1.5625","0.78125"
"86","968.75","13","48","1.5625","0.78125"
"86","968.75","13","48","1.5625","0.78125"
"86","968.75","13","48","-6.25","0.78125"
"86","949","14","48","-6.25","-1.5625"
"86","949","14","48","-6.25","-1.5625"
"86","949","14","48","-6.25","-1.5625"
"86","775","13","48","-0.78125","-1.5625"
"86","775","13","48","-0.78125","-1.5625"
"86","775","13","48","-0.78125","-1.5625"
"86","775","13","48","-0.78125","-1.5625"
"86","743.75","10","49","0.78125","-1.5625"
"86","743.75","10","49","0.78125","-1.5625"
"86","743.75","10","49","0.78125","-1.5625"
"87","743.75","10","49","0.78125","-1.5625"
"87","967.75","12","49","-1.5625","-2.34375"
"87","967.75","12","49","-1.5625","-2.34375"
"87","967.75","12","49","-1.5625","-2.34375"
"87","978","15","49","-0.78125","-1.5625"
"87","978","15","48","-0.78125","-1.5625"
"87","978","15","48","-0.78125","-1.5625"
"87","978","15","48","-0.78125","-1.5625"
"87","962.5","13","48","3.125","-1.5625"
"87","962.5","13","48","3.125","-1.5625"
"87","962.5","13","48","3.125","-1.5625"
"87","962.5","13","48","3.125","-1.5625"
"88","980.25","13","48","-1.5625","-1.5625"
"88","980.25","13","48","-1.5625","-1.5625"
"88","980.25","13","48","-1.5625","-1.5625"
"88","693.75","10","48","-0.78125","-1.5625"
"88","693.75","10","48","-0.78125","-1.5625"
"88","693.75","10","48","-0.78125","-1.5625"
"88","693.75","10","48","-0.78125","-1.5625"
"88","931.25","11","48","0","-1.5625"
"88","931.25","11","48","0","-1.5625"
"88","931.25","11","48","0","-1.5625"
"88","931.25","11","48","0","-1.5625"
"88","939.75","9","48","2.34375","-1.5625"
"88","939.75","9","48","2.34375","-1.5625"
"88","939.75","9","48","2.34375","-1.5625"
"88","689.75","9","48","-2.34375","-2.34375"
"88","689.75","9","48","-2.34375","-2.34375"
"88","689.75","9","48","-2.34375","-2.34375"
"88","689.75","9","48","-2.34375","-2.34375"
"88","1116.25","11","48","-2.34375","-0.78125"
"88","1116.25","11","48","-2.34375","-0.78125"
"88","1116.25","11","48","-2.34375","-0.78125"
"88","1116.25","11","48","-2.34375","-0.78125"
"88","1369.5","18","48","-2.34375","-0.78125"
"88","1369.5","18","48","-2.34375","-0.78125"
"88","1369.5","18","48","-2.34375","-0.78125"
"89","1278.75","18","48","0","-1.5625"
"89","1278.75","19","48","0","-1.5625"
"89","1278.75","19","48","0","-1.5625"
"89","1278.75","19","48","0","-1.5625"
"88","1125.75","16","48","6.25","-0.78125"
"88","1125.75","16","48","6.25","-0.78125"
"88","1125.75","16","48","6.25","-0.78125"
"88","1125.75","16","48","6.25","-0.78125"
"88","1076.5","15","48","7.03125","-1.5625"
"88","1076.5","15","48","7.03125","-1.5625"
"88","1076.5","15","48","7.03125","-1.5625"
"87","1076.5","15","48","3.125","-1.5625"
"87","1025","14","48","3.125","-1.5625"
"87","1025","14","48","3.125","-1.5625"
"87","1025","14","48","3.125","-1.5625"
"87","1042","14","48","0","-1.5625"
"87","1042","14","48","0","-1.5625"
"87","1042","14","48","0","-1.5625"
"87","1042","14","48","0","-1.5625"
"86","1032","10","48","0.78125","-1.5625"
"86","1032","10","48","0.78125","-1.5625"
"86","1032","10","48","0.78125","-1.5625"
"86","1032","10","48","2.34375","-1.5625"
"86","1025.75","5","48","2.34375","-1.5625"
"86","1025.75","5","48","2.34375","-1.5625"
"86","1025.75","5","48","2.34375","-1.5625"
"86","1028","3","48","1.5625","-1.5625"
"86","1028","3","48","1.5625","-1.5625"
"86","1028","3","48","1.5625","-1.5625"
"86","1028","3","48","1.5625","-1.5625"
"86","1032","0","48","0.78125","-1.5625"
"86","1032","0","48","0.78125","-1.5625"
"86","1032","0","48","0.78125","-1.5625"
"86","1032","0","48","4.6875","-1.5625"
